COBS 2008 Fall Soil Sampling,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Trt #,Rep#,Plot#,Orientation,Depth,BULK DENSITY,pH,Bray P,Density-Weighted P Mean (2 top depths),Avail K,Density-Weighted K Mean (2 top depths),NH4-N,NH4-N (30 cm),Density-Weighted NH4-N Mean (2 top depths),NO3-N,Density-Weighted NO3-N Mean (2 top depths),NO3-N (30 cm),SAND,COSILT,FISILT,CLAY
,,,,,g/cm3,1:1 H2O,mg / kg,mg / kg,mg / kg,,mg/ kg,,,mg/ kg,,,,,,
,,,,,,,,,,,,,,,,,,,,
S2,1,11,NE,0-5,1.17,6.08,23,12,272,184,2.2,8.4,4,18.2,11,31,239,187,230,344
S2,1,11,NE,5-15,1.29,5.59,7,,144,,4.7,,,8.2,,,269,219,184,329
S2,1,11,NE,15-30,1.38,5.66,2,,134,,1.5,,,4.4,,,274,192,199,335
CC,1,12,NE,0-5,1.42,6.46,16,8,170,137,5.4,14.0,7,8.1,7,17,334,192,180,295
CC,1,12,NE,5-15,1.49,5.58,5,,122,,7.1,,,5.8,,,310,189,188,314
CC,1,12,NE,15-30,1.46,6.14,2,,127,,1.6,,,3.1,,,313,173,186,327
P,1,13,NE,0-5,1.02,6.74,37,26,279,229,3.4,13.2,7,2.1,1,3,261,225,187,327
P,1,13,NE,5-15,1.37,6.41,23,,210,,8.1,,,1.2,,,283,238,161,319
P,1,13,NE,15-30,1.42,5.68,2,,70,,1.8,,,0.2,,,254,184,210,352
CCW,1,14,NE,0-5,1.15,7.03,11,7,208,161,5.5,15.0,7,8.6,8,16,384,204,135,277
CCW,1,14,NE,5-15,1.36,6.95,5,,141,,7.8,,,7.1,,,387,181,151,281
CCW,1,14,NE,15-30,1.62,7.28,1,,123,,1.7,,,0.5,,,402,167,135,295
PF,1,15,NE,0-5,1.07,7.03,25,15,262,206,4.5,14.1,7,0.1,1,2,295,200,190,315
PF,1,15,NE,5-15,1.40,7.06,11,,185,,7.5,,,1.0,,,290,205,183,322
PF,1,15,NE,15-30,1.39,7.09,3,,137,,2.1,,,0.9,,,259,202,184,355
C2,1,16,NE,0-5,1.06,7.10,18,15,243,192,3.1,12.4,5,5.9,7,17,310,203,181,306
C2,1,16,NE,5-15,1.36,7.08,14,,172,,6.2,,,7.5,,,337,194,167,302
C2,1,16,NE,15-30,1.53,7.23,2,,128,,3.1,,,3.5,,,363,181,158,298
CC,2,21,SE,0-5,1.27,5.76,16,10,196,142,3.0,10.8,5,9.9,9,23,439,168,154,238
CC,2,21,SE,5-15,1.37,5.21,7,,117,,5.5,,,9.1,,,427,157,175,241
CC,2,21,SE,15-30,1.50,5.48,2,,100,,2.3,,,4.4,,,467,138,154,240
C2,2,22,SE,0-5,1.33,6.59,19,11,224,154,1.4,7.7,3,6.2,6,13,458,152,172,219
C2,2,22,SE,5-15,1.43,6.20,8,,122,,3.8,,,6.6,,,440,153,175,232
C2,2,22,SE,15-30,1.44,5.65,2,,119,,2.5,,,0.1,,,372,166,192,269
PF,2,23,SE,0-5,1.55,6.37,31,15,249,178,3.3,13.9,4,5.3,2,6,352,177,218,253
PF,2,23,SE,5-15,1.24,5.35,5,,133,,4.6,,,0.1,,,328,171,232,269
PF,2,23,SE,15-30,1.35,5.17,9,,142,,6.0,,,0.3,,,225,176,279,320
P,2,24,SE,0-5,1.25,6.74,45,29,332,232,4.9,24.8,12,0.4,2,7,285,212,228,274
P,2,24,SE,5-15,1.37,6.06,22,,187,,14.9,,,2.6,,,289,163,262,286
P,2,24,SE,15-30,1.54,6.14,2,,149,,5.0,,,4.0,,,223,191,283,303
CCW,2,25,SE,0-5,1.55,5.49,36,19,202,171,10.8,21.2,9,7.8,7,18,298,141,263,298
CCW,2,25,SE,5-15,1.44,5.14,10,,155,,7.8,,,6.6,,,289,149,249,313
CCW,2,25,SE,15-30,1.53,5.53,1,,183,,2.6,,,3.4,,,353,142,196,310
S2,2,26,SE,0-5,1.05,6.98,16,9,232,186,2.9,13.2,5,9.6,3,16,421,144,184,251
S2,2,26,SE,5-15,1.43,7.06,7,,169,,5.9,,,0.1,,,418,146,181,256
S2,2,26,SE,15-30,1.60,7.29,0,,122,,4.3,,,6.5,,,489,126,146,239
P,3,31,NE,0-5,1.12,6.65,41,16,282,203,1.7,10.1,4,0.1,1,1,427,150,174,249
P,3,31,NE,5-15,1.42,6.75,6,,171,,5.2,,,1.0,,,398,168,166,269
P,3,31,NE,15-30,1.63,7.03,1,,133,,3.2,,,0.1,,,373,161,175,291
PF,3,32,NE,0-5,1.23,6.62,19,9,243,150,3.2,13.0,6,0.1,1,2,477,150,151,222
PF,3,32,NE,5-15,1.60,6.03,6,,114,,6.7,,,1.8,,,518,135,131,216
PF,3,32,NE,15-30,1.64,5.87,1,,110,,3.1,,,0.1,,,513,131,123,232
S2,3,33,NE,0-5,1.12,6.09,17,9,211,160,1.4,9.3,4,3.6,5,14,424,170,162,244
S2,3,33,NE,5-15,1.38,5.58,6,,140,,4.9,,,6.2,,,398,179,167,255
S2,3,33,NE,15-30,1.43,5.38,1,,133,,3.0,,,4.3,,,310,184,191,315
C2,3,34,NE,0-5,1.22,5.69,23,15,201,162,1.9,14.0,7,6.6,7,14,391,165,169,274
C2,3,34,NE,5-15,1.31,5.74,11,,145,,9.3,,,7.0,,,322,178,202,299
C2,3,34,NE,15-30,1.46,5.70,1,,128,,2.9,,,0.1,,,264,175,222,338
CC,3,35,NE,0-5,1.17,5.96,34,19,280,195,1.4,10.5,5,18.1,11,31,303,187,221,289
CC,3,35,NE,5-15,1.36,5.27,13,,159,,6.7,,,8.3,,,284,183,219,313
CC,3,35,NE,15-30,1.41,5.30,2,,140,,2.4,,,4.3,,,226,169,246,359
CCW,3,36,NE,0-5,1.38,6.05,34,18,286,185,0.2,4.8,2,7.6,7,20,497,145,149,209
CCW,3,36,NE,5-15,1.50,5.37,10,,139,,3.0,,,6.4,,,489,148,153,211
CCW,3,36,NE,15-30,1.52,5.16,3,,116,,1.6,,,6.0,,,343,164,216,277
PF,4,41,SE,0-5,1.09,5.96,37,20,239,169,7.9,18.7,7,3.1,2,4,325,185,216,274
PF,4,41,SE,5-15,1.43,5.50,13,,142,,6.8,,,1.0,,,348,170,197,285
PF,4,41,SE,15-30,1.50,5.72,3,,130,,4.0,,,0.1,,,399,144,186,271
CCW,4,42,SE,0-5,1.02,6.15,29,17,252,177,4.3,16.2,6,10.1,9,24,396,163,203,238
CCW,4,42,SE,5-15,1.35,6.48,12,,149,,6.7,,,8.7,,,399,161,200,240
CCW,4,42,SE,15-30,1.48,6.23,3,,136,,5.3,,,5.1,,,371,159,205,266
CC,4,43,SE,0-5,1.15,6.18,17,9,195,137,4.6,13.6,6,5.3,2,8,474,159,177,190
CC,4,43,SE,5-15,1.34,5.70,6,,112,,6.0,,,0.1,,,487,148,174,191
CC,4,43,SE,15-30,1.68,6.44,1,,114,,2.9,,,2.6,,,481,139,173,206
S2,4,44,SE,0-5,1.10,6.14,69,38,324,221,1.8,12.0,4,0.1,6,14,392,160,219,228
S2,4,44,SE,5-15,1.40,5.24,25,,181,,4.4,,,8.2,,,375,161,231,233
S2,4,44,SE,15-30,1.51,5.63,6,,129,,5.8,,,5.5,,,408,160,214,218
C2,4,45,SE,0-5,1.20,5.91,37,20,264,180,1.5,8.3,3,9.5,8,22,483,157,179,181
C2,4,45,SE,5-15,1.35,5.06,13,,142,,3.7,,,7.8,,,490,139,174,197
C2,4,45,SE,15-30,1.52,5.01,2,,102,,3.0,,,5.1,,,504,111,169,216
P,4,46,SE,0-5,1.47,5.87,33,18,235,152,1.8,8.6,3,0.1,0,1,524,131,180,166
P,4,46,SE,5-15,1.58,5.26,11,,113,,4.1,,,0.5,,,533,123,176,169
P,4,46,SE,15-30,1.60,5.21,3,,69,,2.8,,,0.1,,,509,103,180,208
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
