trt,plot,depth,root,carbon
CC,12,5,0.077095104,15.15304289
CC,21,5,0.223634652,12.42101745
CC,35,5,0.190207157,14.36921609
CC,43,5,0.120880415,12.63708334
P,13,5,2.693620528,14.69316525
P,24,5,2.977048023,15.35105608
P,31,5,2.328154426,20.15431471
P,46,5,4.148148148,14.16041064
PF,15,5,1.365348399,19.67307202
PF,23,5,0.949152542,13.73241145
PF,41,5,1.005414313,13.43460175
CC,12,15,0.129766949,16.37953694
CC,12,10,0.129766949,16.37953694
CC,21,15,0.154896422,13.88338628
CC,21,10,0.154896422,13.88338628
CC,35,15,0.223987759,15.81236525
CC,35,10,0.223987759,15.81236525
CC,43,15,0.152777778,13.69067758
CC,43,10,0.152777778,13.69067758
P,13,15,1.334922316,19.2765756
P,13,10,1.334922316,19.2765756
P,24,15,1.231756121,16.46078285
P,24,10,1.231756121,16.46078285
P,31,15,1.271892655,19.89262099
P,31,10,1.271892655,19.89262099
P,46,15,1.004766949,12.24838179
P,46,10,1.004766949,12.24838179
PF,15,15,0.615466102,17.9376321
PF,15,10,0.615466102,17.9376321
PF,23,15,0.786664313,15.25424958
PF,23,10,0.786664313,15.25424958
PF,41,15,0.5336629,16.97923871
PF,41,10,0.5336629,16.97923871
CC,12,30,0.111228814,15.57314764
CC,12,20,0.111228814,15.57314764
CC,12,25,0.111228814,15.57314764
CC,21,30,0.105029818,11.09540377
CC,21,20,0.105029818,11.09540377
CC,21,25,0.105029818,11.09540377
CC,35,30,0.109737916,15.82778984
CC,35,20,0.109737916,15.82778984
CC,35,25,0.109737916,15.82778984
CC,43,30,0.10353892,11.6116615
CC,43,20,0.10353892,11.6116615
CC,43,25,0.10353892,11.6116615
P,13,30,0.526522285,13.75215691
P,13,20,0.526522285,13.75215691
P,13,25,0.526522285,13.75215691
P,24,30,0.600949466,11.94183447
P,24,20,0.600949466,11.94183447
P,24,25,0.600949466,11.94183447
P,31,30,0.404896422,16.25657959
P,31,20,0.404896422,16.25657959
P,31,25,0.404896422,16.25657959
P,46,30,0.324387947,12.16200978
P,46,20,0.324387947,12.16200978
P,46,25,0.324387947,12.16200978
PF,15,30,0.290489642,17.34593152
PF,15,20,0.290489642,17.34593152
PF,15,25,0.290489642,17.34593152
PF,23,30,0.425808223,12.88877869
PF,23,20,0.425808223,12.88877869
PF,23,25,0.425808223,12.88877869
PF,32,30,0.499607659,15.18365449
PF,32,20,0.499607659,15.18365449
PF,32,25,0.499607659,15.18365449
PF,41,30,0.220417451,4.962465507
PF,41,20,0.220417451,4.962465507
PF,41,25,0.220417451,4.962465507
CC,12,60,0.080076899,8.584315623
CC,12,35,0.080076899,8.584315623
CC,12,40,0.080076899,8.584315623
CC,12,45,0.080076899,8.584315623
CC,12,50,0.080076899,8.584315623
CC,12,55,0.080076899,8.584315623
CC,21,60,0.085567718,5.673318836
CC,21,35,0.085567718,5.673318836
CC,21,40,0.085567718,5.673318836
CC,21,45,0.085567718,5.673318836
CC,21,50,0.085567718,5.673318836
CC,21,55,0.085567718,5.673318836
CC,35,60,0.07819366,9.77070227
CC,35,35,0.07819366,9.77070227
CC,35,40,0.07819366,9.77070227
CC,35,45,0.07819366,9.77070227
CC,35,50,0.07819366,9.77070227
CC,35,55,0.07819366,9.77070227
CC,43,60,0.108776679,6.210530081
CC,43,35,0.108776679,6.210530081
CC,43,40,0.108776679,6.210530081
CC,43,45,0.108776679,6.210530081
CC,43,50,0.108776679,6.210530081
CC,43,55,0.108776679,6.210530081
P,13,60,0.286625079,8.174469223
P,13,35,0.286625079,8.174469223
P,13,40,0.286625079,8.174469223
P,13,45,0.286625079,8.174469223
P,13,50,0.286625079,8.174469223
P,13,55,0.286625079,8.174469223
P,24,60,0.174474262,5.167608638
P,24,35,0.174474262,5.167608638
P,24,40,0.174474262,5.167608638
P,24,45,0.174474262,5.167608638
P,24,50,0.174474262,5.167608638
P,24,55,0.174474262,5.167608638
P,46,60,0.347339925,6.250968072
P,46,35,0.347339925,6.250968072
P,46,40,0.347339925,6.250968072
P,46,45,0.347339925,6.250968072
P,46,50,0.347339925,6.250968072
P,46,55,0.347339925,6.250968072
PF,15,60,0.136358286,7.770767305
PF,15,35,0.136358286,7.770767305
PF,15,40,0.136358286,7.770767305
PF,15,45,0.136358286,7.770767305
PF,15,50,0.136358286,7.770767305
PF,15,55,0.136358286,7.770767305
PF,23,60,0.181614878,8.53851756
PF,23,35,0.181614878,8.53851756
PF,23,40,0.181614878,8.53851756
PF,23,45,0.181614878,8.53851756
PF,23,50,0.181614878,8.53851756
PF,23,55,0.181614878,8.53851756
PF,32,60,0.168549906,6.082357397
PF,32,35,0.168549906,6.082357397
PF,32,40,0.168549906,6.082357397
PF,32,45,0.168549906,6.082357397
PF,32,50,0.168549906,6.082357397
PF,32,55,0.168549906,6.082357397
PF,41,60,0.127903327,2.810046404
PF,41,35,0.127903327,2.810046404
PF,41,40,0.127903327,2.810046404
PF,41,45,0.127903327,2.810046404
PF,41,50,0.127903327,2.810046404
PF,41,55,0.127903327,2.810046404
CC,21,100,0.049140772,2.596794578
CC,21,65,0.049140772,2.596794578
CC,21,70,0.049140772,2.596794578
CC,21,75,0.049140772,2.596794578
CC,21,80,0.049140772,2.596794578
CC,21,85,0.049140772,2.596794578
CC,21,90,0.049140772,2.596794578
CC,21,95,0.049140772,2.596794578
CC,35,100,0.055540843,3.379186103
CC,35,65,0.055540843,3.379186103
CC,35,70,0.055540843,3.379186103
CC,35,75,0.055540843,3.379186103
CC,35,80,0.055540843,3.379186103
CC,35,85,0.055540843,3.379186103
CC,35,90,0.055540843,3.379186103
CC,35,95,0.055540843,3.379186103
CC,43,100,0.083612877,3.009641898
CC,43,65,0.083612877,3.009641898
CC,43,70,0.083612877,3.009641898
CC,43,75,0.083612877,3.009641898
CC,43,80,0.083612877,3.009641898
CC,43,85,0.083612877,3.009641898
CC,43,90,0.083612877,3.009641898
CC,43,95,0.083612877,3.009641898
P,13,100,0.130090631,3.825534897
P,13,65,0.130090631,3.825534897
P,13,70,0.130090631,3.825534897
P,13,75,0.130090631,3.825534897
P,13,80,0.130090631,3.825534897
P,13,85,0.130090631,3.825534897
P,13,90,0.130090631,3.825534897
P,13,95,0.130090631,3.825534897
P,24,100,0.102239289,2.457155854
P,24,65,0.102239289,2.457155854
P,24,70,0.102239289,2.457155854
P,24,75,0.102239289,2.457155854
P,24,80,0.102239289,2.457155854
P,24,85,0.102239289,2.457155854
P,24,90,0.102239289,2.457155854
P,24,95,0.102239289,2.457155854
P,31,100,0.093602872,2.298531909
P,31,65,0.093602872,2.298531909
P,31,70,0.093602872,2.298531909
P,31,75,0.093602872,2.298531909
P,31,80,0.093602872,2.298531909
P,31,85,0.093602872,2.298531909
P,31,90,0.093602872,2.298531909
P,31,95,0.093602872,2.298531909
P,46,100,0.156941502,3.841782006
P,46,65,0.156941502,3.841782006
P,46,70,0.156941502,3.841782006
P,46,75,0.156941502,3.841782006
P,46,80,0.156941502,3.841782006
P,46,85,0.156941502,3.841782006
P,46,90,0.156941502,3.841782006
P,46,95,0.156941502,3.841782006
PF,15,100,0.139712806,3.513339564
PF,15,65,0.139712806,3.513339564
PF,15,70,0.139712806,3.513339564
PF,15,75,0.139712806,3.513339564
PF,15,80,0.139712806,3.513339564
PF,15,85,0.139712806,3.513339564
PF,15,90,0.139712806,3.513339564
PF,15,95,0.139712806,3.513339564
PF,23,100,0.060602048,2.417304907
PF,23,65,0.060602048,2.417304907
PF,23,70,0.060602048,2.417304907
PF,23,75,0.060602048,2.417304907
PF,23,80,0.060602048,2.417304907
PF,23,85,0.060602048,2.417304907
PF,23,90,0.060602048,2.417304907
PF,23,95,0.060602048,2.417304907
PF,32,100,0.107403484,2.21898155
PF,32,65,0.107403484,2.21898155
PF,32,70,0.107403484,2.21898155
PF,32,75,0.107403484,2.21898155
PF,32,80,0.107403484,2.21898155
PF,32,85,0.107403484,2.21898155
PF,32,90,0.107403484,2.21898155
PF,32,95,0.107403484,2.21898155
PF,41,100,0.076300612,16.13157233
PF,41,65,0.076300612,16.13157233
PF,41,70,0.076300612,16.13157233
PF,41,75,0.076300612,16.13157233
PF,41,80,0.076300612,16.13157233
PF,41,85,0.076300612,16.13157233
PF,41,90,0.076300612,16.13157233
PF,41,95,0.076300612,16.13157233
