"trt","depth","soilCprop","rootCprop"
"CC","2.5",0.0933783714467998,0.0830081763483788
"P","2.5",0.113903696169636,0.339904900402086
"PF","2.5",0.0873035113423376,0.236538330280283
"CC","10",0.204548759124124,0.194599028661863
"P","10",0.2373868171543,0.279845262133933
"PF","10",0.186222137132019,0.261039570246354
"CC","22.5",0.275001223254239,0.192917208122928
"P","22.5",0.285231334022045,0.149012160938967
"PF","22.5",0.266326021541613,0.247568689105637
"CC","45",0.304663613923495,0.332672587450922
"P","45",0.257761754573893,0.165821922952666
"PF","45",0.259051091893839,0.210680545002379
"CC","80",0.163210709668456,0.262403999221211
"P","80",0.170156836723599,0.106871234310515
"PF","80",0.26947865020878,0.168567340497007
