trt,plot,depth,rootC,carbon
CC,12,10,0.043757415,16.37953694
CC,12,22.5,0.041699682,15.57314764
CC,12,2.5,0.025587865,15.15304289
CC,12,45,0.031326083,8.584315623
CC,21,80,0.01831968,2.596794578
CC,21,10,0.058225565,13.88338628
CC,21,22.5,0.036644903,11.09540377
CC,21,2.5,0.085517891,12.42101745
CC,21,45,0.031959543,5.673318836
CC,35,80,0.021005547,3.379186103
CC,35,10,0.087691208,15.81236525
CC,35,22.5,0.041886963,15.82778984
CC,35,2.5,0.065469303,14.36921609
CC,35,45,0.03071447,9.77070227
CC,43,80,0.033077254,3.009641898
CC,43,10,0.060484722,13.69067758
CC,43,22.5,0.036093668,11.6116615
CC,43,2.5,0.039842185,12.63708334
CC,43,45,0.045490407,6.210530081
CC,43,,,
CC,43,105,0.02,2.8
P,13,80,0.052231388,3.825534897
P,13,10,0.536104802,19.2765756
P,13,22.5,0.198130336,13.75215691
P,13,2.5,1.093340572,14.69316525
P,13,45,0.119866608,8.174469223
P,24,80,0.04343125,2.457155854
P,24,10,0.534705332,16.46078285
P,24,22.5,0.240019217,11.94183447
P,24,2.5,1.280726059,15.35105608
P,24,45,0.071115709,5.167608638
P,31,80,0.039874823,2.298531909
P,31,10,0.568281638,19.89262099
P,31,22.5,0.169246704,16.25657959
P,31,2.5,1.014842514,20.15431471
P,46,80,0.068756072,3.841782006
P,46,10,0.41316017,12.24838179
P,46,22.5,0.128035923,12.16200978
P,46,2.5,1.81522963,14.16041064
P,46,45,0.150780261,6.250968072
PF,15,80,0.055088759,3.513339564
PF,15,10,0.256095445,17.9376321
PF,15,22.5,0.118781215,17.34593152
PF,15,2.5,0.589420904,19.67307202
PF,15,45,0.058811329,7.770767305
PF,23,80,0.022889394,2.417304907
PF,23,10,0.320408374,15.25424958
PF,23,22.5,0.161381317,12.88877869
PF,23,2.5,0.414020339,13.73241145
PF,23,45,0.067251989,8.53851756
PF,32,80,0.043015095,2.21898155
PF,32,22.5,0.212633019,15.18365449
PF,32,45,0.073521469,6.082357397
PF,41,80,0.034281865,
PF,41,10,0.2314496,16.97923871
PF,41,22.5,0.094713379,4.962465507
PF,41,2.5,0.460881921,13.43460175
PF,41,45,0.05652048,2.810046404
